"name","dimension","resolution","aspect_ratio","ppi","hz","cpu","gpu","ram","os","price_min","price_max","url"
"GIGABYTE Gaming A16","16""","1920x1200","16:10","142ppi","165Hz","Intel Core i7-13620H, 6P+4E/16T, 2.40-4.90GHz, 24MiB+16MiB Cache, 45-115W TDP (PBP/MTP), Codename ""Raptor Lake-H"" (Raptor Cove /​ Golden Cove + Gracemont, Intel 7)","NVIDIA GeForce RTX 4050 - 6GB GDDR6 - Mobile, 20SM/2560SP, 49 TOPS, Codename ""AD107"" (Ada Lovelace, TSMC N5P [NVIDIA 4N]), 75W Max GPU Power","16GB DDR5-5600 (1x 16GB Modul, 2 Slots gesamt, 1 Slot frei, max. 64GB)","Windows 11 Home","€ 999,00","€ 1165,00","https://geizhals.at/gigabyte-gaming-a16-cmhi2de894sh-a3548822.html"
"Apple MacBook Pro 16.2""","16.2""","3456x2234","3:2","254ppi","120Hz","Apple M5 Pro - 18 Core, 6x Everest Gen4 ""Super"" (4.61GHz) + 12x Everest Gen4 M ""Performance"" (4.38GHz), TSMC N3P, ARMv9.2-A","Apple 20-Core GPU, Architektur ""G18"", 20C/​320EU/​2560SP","24GB LPDDR5X-9600 Onboard, nicht erweiterbar","macOS 26","€ 2942,52","€ 3553,00","https://geizhals.at/apple-macbook-pro-16-2-z1mv-a3750149.html"
"Apple MacBook Air 13"" M5","13.6""","2560x1664","20:13","225ppi","60Hz","Apple M5 - 10 Core, 4x Everest Gen4 ""Super"" (4.61GHz) + 6x Sawtooth Gen4 ""Efficiency"" (3.05GHz), TSMC N3P, ARMv9.2-A","Apple 10-Core GPU, Architektur ""G18"", 10C/​160EU/​1280SP","32GB LPDDR5X-9600 Onboard, nicht erweiterbar","macOS 26","€ 1814,11","€ 2171,00","https://geizhals.at/apple-macbook-air-13-m5-z1l3-a3743880.html"
"HP ZBook Fury 16 G9","16""","1920x1200","16:10","142ppi","60Hz","Intel Core i7-12800HX, 8P+8E/24T, 1.50-4.80GHz, 25MiB+14MiB Cache, 55-157W TDP (PBP/MTP), Codename ""Alder Lake-HX"" (Golden Cove + Gracemont, Intel 7)","NVIDIA RTX A2000 - 8GB GDDR6 - Mobile, 20SM/2560SP, Codename ""GA107"" (Ampere, Samsung 8nm)","32GB DDR5-4800 (2x 16GB SO-DIMM-Module, 4 Slots gesamt, 2 Slots frei, max. 128GB)","Windows 11 Pro","€ 3736,73","","https://geizhals.at/hp-zbook-fury-16-g9-grau-62v34ea-abd-a2818659.html"
"Lenovo ThinkPad E14 G7 (Intel)","14""","1920x1200","16:10","162ppi","60Hz","Intel Core Ultra 7 258V, 4P+4LPE/8T, 2.20-4.80GHz, 12MiB+14MiB Cache, 17-37W TDP (PBP/MTP), Codename ""Lunar Lake"" (Lion Cove + Skymont, TSMC N3B)","Intel Arc Graphics 140V (iGPU), 8Xe/64EU/1024SP, 1.95GHz, Architektur ""Xe2-LPG""","32GB LPDDR5X-8533 Onboard, nicht erweiterbar","Windows 11 Pro","€ 1395,86","","https://geizhals.at/lenovo-thinkpad-e14-g7-intel-21u2cto1wwde2-21u2cto1wwat2-a3595142.html"
"HP ZBook Fury 16 G9","16""","3840x2400","16:10","283ppi","120Hz","Intel Core i9-12950HX, 8P+8E/24T, 1.70-5.00GHz, 30MiB+14MiB Cache, 55-157W TDP (PBP/MTP), Codename ""Alder Lake-HX"" (Golden Cove + Gracemont, Intel 7)","NVIDIA RTX A3000 - 12GB GDDR6 - Mobile, 32SM/4096SP, Codename ""GA104"" (Ampere, Samsung 8nm)","32GB DDR5-4800 (2x 16GB SO-DIMM-Module, 4 Slots gesamt, 2 Slots frei, max. 128GB)","Windows 11 Pro","€ 3110,10","","https://geizhals.at/hp-zbook-fury-16-g9-grau-62v33ea-abd-a2807465.html"
"GIGABYTE AERO X16","16""","2560x1600","16:10","189ppi","165Hz","AMD Ryzen AI 7 350, 4C+4c/16T, 2.00-5.00GHz, 16MiB+8MiB Cache, 28W TDP, 15-54W cTDP, Codename ""Krackan Point"" (Zen 5 + Zen 5c, TSMC 4nm)","NVIDIA GeForce RTX 5070 - 8GB GDDR7 - Mobile, 36SM/4608SP, 100 TOPS, Codename ""GB206"" (Blackwell, TSMC N5P [NVIDIA 4N]), 85W Max GPU Power","32GB DDR5-5600 (2x 16GB Module, 2 Slots gesamt, 0 Slots frei, max. 64GB)","Windows 11 Home","€ 1799,00","€ 2206,09","https://geizhals.at/gigabyte-aero-x16-1wh93dec64ah-a3502136.html"
"ASUS ExpertBook B1 BM1503CDA-S70590","15.6""","1920x1080","16:9","141ppi","60Hz","AMD Ryzen 5 7535U, 6C/12T, 2.90-4.55GHz, 16MiB+3MiB Cache, 28W TDP, Codename ""Rembrandt-R"" (Zen 3+, TSMC 6nm)","AMD Radeon 660M (iGPU), 6CU/384SP, 6 RT-Cores, 1.90GHz, Architektur ""RDNA 2""","16GB DDR5 (2x 8GB SO-DIMM-Module, 2 Slots gesamt, 0 Slots frei, max. 64GB)","N/​A","€ 629,00","","https://geizhals.at/asus-expertbook-b1-bm1503cda-s70590-90nx0821-m01490-a3564788.html"
"Lenovo ThinkPad P16 G3 (Intel)","16""","3200x2000","16:10","236ppi","60Hz","Intel Core Ultra 9 275HX, 8P+16E/24T, 2.70-5.40GHz, 36MiB+40MiB Cache, 55-160W TDP (PBP/MTP), Codename ""Arrow Lake-HX"" (Lion Cove + Skymont, TSMC N3B)","NVIDIA RTX PRO 5000 Blackwell - 24GB GDDR7 - Mobile, 82SM/10496SP, Codename ""GB203"" (Blackwell, TSMC N5P [NVIDIA 4N])","96GB DDR5-5600 (2x 48GB SO-DIMM-Module, 4 Slots gesamt, 2 Slots frei, max. 192GB Non-ECC, max. 128GB ECC)","Windows 11 Pro","€ 7869,88","€ 9176,47","https://geizhals.at/lenovo-thinkpad-p16-g3-intel-21rq003wge-a3699936.html"
"HP OmniBook X FlipNGAI 14-fk0275ng","14""","1920x1200","16:10","162ppi","60Hz","AMD Ryzen AI 7 350, 4C+4c/16T, 2.00-5.00GHz, 16MiB+8MiB Cache, 28W TDP, 15-54W cTDP, Codename ""Krackan Point"" (Zen 5 + Zen 5c, TSMC 4nm)","AMD Radeon 860M (iGPU), 8CU/512SP, 8 RT-Cores, 3.00GHz, Architektur ""RDNA 3.5""","16GB LPDDR5X-7500 Onboard, nicht erweiterbar","Windows 11 Home","€ 856,13","","https://geizhals.at/hp-omnibook-x-flipngai-14-fk0275ng-ba3s4ea-abd-a3549257.html"
